Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1990,0.89,-2.04,-2.13,1.54,-0.19,0.37,1.32,4.68,2.70,0.88,2.45,-1.23,0.21,-4.83,6.12,-0.25,2.20,-0.03,1.61,-0.80,-1.64,-2.07,-3.49
1991,0.25,-2.88,-2.77,0.98,-1.24,-0.54,0.51,4.35,2.18,0.53,1.94,-1.81,-0.27,-5.79,5.60,-1.24,1.54,-0.90,1.06,-1.46,-2.22,-2.79,-4.29
1992,0.40,-2.69,-3.13,0.91,-0.77,0.07,1.16,4.53,2.43,0.83,1.65,-1.17,-0.68,-5.51,5.54,-0.71,1.62,-0.26,1.60,-0.97,-1.77,-2.90,-4.30
1993,0.02,-3.24,-3.56,0.24,-1.18,-0.22,1.14,4.32,2.00,0.64,1.25,-1.35,-1.01,-5.97,5.03,-1.22,0.99,-0.60,1.45,-1.31,-2.00,-3.33,-4.77
1994,0.99,-2.17,-2.39,1.55,-0.41,0.24,1.39,5.23,3.05,1.47,2.53,-0.86,0.17,-5.10,6.30,-0.36,2.23,-0.11,1.99,-0.55,-1.27,-2.12,-3.52
1995,1.20,-1.62,-2.37,1.66,0.24,0.92,1.89,5.34,3.28,1.71,2.30,-0.39,0.02,-4.52,6.23,0.24,2.60,0.59,2.38,-0.08,-0.83,-2.20,-3.54
1996,0.15,-2.61,-3.29,0.83,-0.93,-0.52,0.46,4.08,1.96,0.25,1.76,-1.89,-0.63,-5.50,5.33,-0.90,1.49,-0.83,0.96,-1.52,-2.32,-3.06,-4.20
1997,1.25,-1.40,-1.53,2.07,0.11,0.72,1.13,5.00,2.89,1.16,3.10,-1.16,0.89,-4.24,6.30,0.05,2.61,0.27,1.70,-0.60,-1.45,-1.45,-2.86
1998,1.91,-0.74,-1.52,2.72,0.83,1.18,1.86,5.74,3.62,1.90,3.70,-0.34,1.15,-3.68,7.06,0.82,3.32,0.87,2.53,0.23,-0.57,-1.04,-2.12
1999,1.44,-1.39,-1.83,2.18,0.19,0.66,1.26,5.44,3.25,1.62,3.26,-0.71,0.86,-4.28,6.64,0.25,2.74,0.35,2.07,-0.21,-0.98,-1.42,-2.62
2000,0.51,-2.58,-2.70,1.13,-0.90,-0.32,0.72,4.62,2.50,0.83,2.17,-1.44,-0.20,-5.51,5.87,-0.91,1.83,-0.61,1.38,-1.12,-1.87,-2.56,-3.95
2001,1.12,-1.78,-2.13,2.06,-0.32,0.17,1.01,5.13,3.05,1.09,3.01,-1.23,0.45,-4.91,6.54,-0.31,2.70,-0.16,1.67,-0.56,-1.40,-1.84,-3.10
2002,1.53,-1.46,-1.80,2.20,0.33,0.85,1.89,5.69,3.46,1.81,2.99,-0.35,0.64,-4.39,6.73,0.35,2.87,0.52,2.54,-0.04,-0.81,-1.65,-2.97
2003,0.52,-2.38,-3.07,1.23,-0.69,-0.15,1.04,4.55,2.55,0.74,1.95,-1.47,-0.56,-5.33,5.90,-0.72,1.98,-0.53,1.30,-1.00,-1.81,-2.79,-3.99
2004,1.50,-1.39,-2.02,2.19,0.13,0.72,1.71,5.76,3.51,1.84,3.08,-0.51,0.55,-4.33,6.80,0.13,2.87,0.35,2.48,-0.14,-0.94,-1.72,-2.89
2005,0.22,-2.82,-3.88,0.81,-1.08,-0.34,0.93,4.90,2.51,0.89,1.42,-1.40,-1.36,-5.89,5.83,-1.10,1.69,-0.73,1.65,-1.13,-1.94,-3.89,-4.95
2006,1.36,-1.53,-1.92,2.22,0.01,0.50,0.90,5.65,3.52,1.79,3.08,-0.87,0.65,-4.69,6.92,-0.08,2.95,0.10,2.08,-0.23,-1.07,-1.86,-3.08
2007,2.64,-0.25,-1.15,3.16,1.65,2.33,2.73,7.06,5.00,3.49,3.83,1.05,1.34,-3.30,7.89,1.66,4.11,1.93,3.73,1.64,0.91,-0.91,-2.05
2008,1.53,-1.40,-1.85,2.08,0.26,0.87,1.93,5.79,3.59,2.00,2.95,-0.32,0.60,-4.43,6.74,0.22,2.88,0.50,2.60,0.09,-0.66,-1.75,-3.05
2009,0.96,-1.80,-2.72,1.91,-0.22,0.19,0.67,5.26,3.06,1.28,2.67,-1.29,-0.03,-4.95,6.61,-0.28,2.62,-0.18,1.73,-0.64,-1.51,-2.58,-3.58
2010,-0.12,-3.11,-3.71,0.55,-1.48,-0.90,-0.11,4.34,1.88,0.23,1.60,-2.31,-0.97,-6.09,5.50,-1.54,1.28,-1.28,0.77,-1.79,-2.65,-3.61,-4.76
2011,0.30,-3.12,-3.21,0.77,-1.30,-0.38,0.98,4.76,2.34,0.84,1.81,-1.25,-0.62,-5.98,5.65,-1.30,1.42,-0.76,1.63,-1.20,-1.91,-3.12,-4.48
2012,-0.38,-3.43,-3.58,0.49,-1.95,-1.31,-0.27,3.68,1.53,-0.16,1.54,-2.56,-0.97,-6.46,5.11,-1.99,1.03,-1.69,0.27,-2.19,-3.00,-3.56,-4.81
2013,1.30,-1.69,-1.66,2.27,-0.31,0.11,0.68,5.52,3.43,1.63,3.20,-1.15,0.81,-4.76,6.92,-0.45,2.83,-0.30,1.88,-0.56,-1.43,-1.58,-2.90
2014,1.60,-1.58,-2.35,2.05,0.14,0.89,1.85,6.48,3.98,2.51,2.82,-0.05,0.20,-4.47,7.17,0.09,2.88,0.48,3.11,0.15,-0.60,-2.04,-3.13
2015,1.97,-0.91,-1.29,2.63,0.73,1.29,2.08,5.94,3.92,2.21,3.60,-0.12,1.20,-3.71,7.19,0.61,3.30,0.88,2.75,0.39,-0.43,-1.02,-2.34
2016,1.02,-1.99,-2.43,1.84,-0.48,0.16,0.96,5.27,3.12,1.22,2.80,-1.14,0.22,-4.98,6.58,-0.58,2.48,-0.25,1.86,-0.68,-1.52,-2.33,-3.55
2017,2.17,-0.66,-1.24,3.03,0.92,1.36,1.78,6.33,4.24,2.39,3.95,-0.17,1.37,-3.60,7.66,0.76,3.70,0.91,2.82,0.44,-0.45,-0.96,-2.11
